user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11,Male,USA,Ohio,South Noah,Standard,21-08-2024,1,28.56,Laptop,2,24-01-2026 01:59
user_00007,maldonadoamanda@example.com,Daniel,Moore,63,Unknown,USA,Maryland,Teresaburgh,Premium,13-03-2025,1,27.74,Desktop,1,24-01-2026 18:23
user_00010,morganbrianna@example.org,Adrian,Perez,24,Male,USA,Pennsylvania,Chadbury,Basic,04-08-2024,1,23.18,Laptop,1,24-01-2026 04:39
user_00011,kristenaguirre@example.org,Collin,Gomez,67,Female,USA,Ohio,Shieldston,Basic,07-10-2022,1,556.13,Desktop,2,24-01-2026 05:50
user_00016,medinawilliam@example.org,Nicole,Wood,50,Female,USA,Pennsylvania,Bassport,Standard,02-08-2024,1,3.36,Laptop,1,24-01-2026 20:29
user_00017,josephpreston@example.net,Joseph,Robbins,25,Female,USA,Indiana,Williamview,Premium,11-11-2022,1,13.56,Smart TV,1,24-01-2026 17:27
user_00019,michael05@example.org,Elizabeth,Deleon,26,Other,USA,Ohio,East Michelle,Premium,25-03-2025,1,10.28,Mobile,7,24-01-2026 23:22
user_00023,elizabeth14@example.net,Elizabeth,Powell,40,Female,Canada,New Brunswick,East Robert,Basic,13-08-2024,1,13.56,Gaming Console,3,24-01-2026 03:36
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36,Male,USA,New York,South Cheryl,Premium1,14-12-2023,0,11.97,Tablet,3,24-01-2026 14:08
user_00030,brobinson@example.com,Paul,Ramsey,24,Unknown,USA,Indiana,New Amanda,Premium,11-05-2024,1,10.17,Laptop,4,24-01-2026 16:54
user_00032,jeffrey10@example.org,James,Howell,56,Male,USA,Pennsylvania,South Elizabeth,Premium1,24-12-2023,1,7.49,Gaming Console,4,24-01-2026 01:33
user_00035,ryangross@example.net,Christina,Marshall,31,Male,USA,Pennsylvania,Melissaland,Premium1,25-03-2025,1,19.52,Desktop,1,24-01-2026 10:36
user_00036,anthony52@example.com,Michael,Peterson,36,Other,USA,Texas,New Stacyland,Premium,29-09-2024,1,9.74,Smart TV,3,24-01-2026 18:58
user_00037,fbrewer@example.com,Christopher,Sullivan,41,Male,Canada,British Columbia,Elizabethstad,Standard,30-03-2024,1,27.56,Desktop,1,24-01-2026 17:05
user_00039,jeremy24@example.org,Joshua,Tran,40,Female,USA,New York,Garciatown,Standard,29-12-2023,1,13.56,Tablet,2,24-01-2026 19:52
user_00041,michelle64@example.net,Chelsea,Meza,29,Female,Canada,Alberta,West Donna,Standard,21-04-2023,1,25.73,Laptop,2,24-01-2026 04:27
user_00043,charlesmartin@example.com,Scott,Barker,35,Male,Canada,Nova Scotia,Vincentfort,Standard,29-10-2022,1,6.05,Tablet,4,24-01-2026 05:41
user_00045,harrisonricky@example.com,Mia,Jenkins,40,Female,USA,Pennsylvania,Elainefurt,Premium,13-12-2023,1,3.22,Desktop,4,24-01-2026 05:43
user_00053,hthomas@example.com,George,Lynch,34,Male,USA,Indiana,South Roberta,Standard,13-04-2023,1,30.64,Smart TV,3,24-01-2026 08:46
user_00054,rsantana@example.net,Charles,Huerta,53,Unknown,Canada,British Columbia,Vaughnmouth,Premium,08-03-2023,1,16.83,Gaming Console,3,24-01-2026 05:37
user_00056,erica21@example.net,Kyle,Johnson,37,Female,Canada,Quebec,North Renee,Premium,29-10-2024,1,29.14,Desktop,3,24-01-2026 02:57
user_00058,bakerdavid@example.com,Brenda,Rodriguez,35,Male,USA,Illinois,Johnsonside,Standard,01-05-2025,1,12.29,Mobile,5,24-01-2026 11:17
user_00063,judyfox@example.net,Thomas,Palmer,26,Unknown,Canada,New Brunswick,Gordonton,Standard,17-12-2023,1,20.26,Gaming Console,2,24-01-2026 14:06
user_00064,gsimmons@example.com,Charles,Morris,40,Female,Canada,New Brunswick,East Joshuashire,Premium,23-09-2023,1,6.76,Gaming Console,3,24-01-2026 10:25
user_00066,fjones@example.org,Colin,Cain,35,Female,USA,Florida,Elizabethchester,Premium,16-03-2025,1,50.72,Laptop,3,24-01-2026 09:16
user_00069,eric45@example.net,Nicole,Moore,40,Female,USA,Illinois,West Scottchester,Premium,28-05-2024,1,12.48,Tablet,4,24-01-2026 14:14
